,prec,snow,snow_depth,temp_max,temp_min,is_weekend,is_holiday,subscribers
0,0.0,0.0,0.0,19,7,False,True,137003
1,0.0,0.0,0.0,26,13,False,False,137003
2,0.0,0.0,0.0,30,16,False,False,137003
3,0.76,9.8,1.2,29,19,False,False,137003
4,0.0,0.0,7.1,19,9,False,False,137003
5,0.0,0.0,5.9,13,6,True,False,137003
6,0.0,0.0,5.9,18,5,True,False,137003
7,0.01,0.0,5.1,31,17,False,False,137003
8,0.0,0.0,5.1,44,30,False,False,137003
9,0.0,0.0,3.9,43,30,False,False,137003
10,0.0,0.0,3.1,53,41,False,False,137003
11,0.54,0.0,0.0,61,44,False,False,137003
12,0.05,0.0,0.0,58,19,True,False,137003
13,0.0,0.0,0.0,25,15,True,False,137003
14,0.0,0.0,0.0,30,16,False,True,137003
15,0.0,0.0,0.0,36,25,False,False,137003
16,0.19,0.4,0.0,36,22,False,False,137003
17,0.0,0.0,0.0,32,18,False,False,137003
18,0.0,0.0,0.0,41,24,False,False,137003
19,0.0,0.0,0.0,52,38,True,False,137003
20,0.0,0.0,0.0,50,42,True,False,137003
21,0.01,0.0,0.0,49,38,False,False,137003
22,0.3,0.0,0.0,60,38,False,False,137003
23,0.0,0.0,0.0,44,27,False,False,137003
24,0.0,0.0,0.0,34,23,False,False,137003
25,0.0,0.0,0.0,38,26,False,False,137003
26,0.0,0.0,0.0,56,35,True,False,137003
27,0.21,0.0,0.0,55,46,True,False,137003
28,0.0,0.1,0.0,47,35,False,False,137003
29,0.11,0.9,0.0,36,24,False,False,137003
30,0.0,0.0,0.0,33,18,False,False,137003
31,0.05,0.0,0.0,45,32,False,False,138109
32,0.18,0.0,0.0,41,17,False,False,138109
33,0.0,0.0,0.0,31,16,True,False,138109
34,0.96,0.0,0.0,46,30,True,False,138109
35,0.0,0.0,0.0,40,26,False,False,138109
36,0.0,0.0,0.0,37,26,False,False,138109
37,0.85,0.5,0.0,45,30,False,False,138109
38,0.0,0.0,0.0,33,25,False,False,138109
39,0.0,0.0,0.0,39,26,False,False,138109
40,0.58,0.0,0.0,50,39,True,False,138109
41,1.21,0.0,0.0,62,45,True,False,138109
42,0.0,0.0,0.0,62,32,False,True,138109
43,0.0,0.0,0.0,38,26,False,False,138109
44,0.08,0.0,0.0,53,35,False,False,138109
45,0.16,0.0,0.0,62,46,False,False,138109
46,0.09,0.0,0.0,58,36,False,False,138109
47,0.52,4.4,0.0,40,28,True,False,138109
48,0.01,0.0,3.1,44,33,True,False,138109
49,0.04,0.0,0.0,49,36,False,True,138109
50,0.0,0.0,0.0,67,47,False,False,138109
51,0.06,0.0,0.0,78,55,False,False,138109
52,0.17,0.0,0.0,59,37,False,False,138109
53,0.06,0.0,0.0,42,36,False,False,138109
54,0.08,0.0,0.0,55,42,True,False,138109
55,0.73,0.0,0.0,44,40,True,False,138109
56,0.0,0.0,0.0,52,43,False,False,138109
57,0.0,0.0,0.0,56,39,False,False,138109
58,0.0,0.0,0.0,61,42,False,False,138109
59,0.38,0.0,0.0,60,44,False,False,138109
60,1.86,0.0,0.0,44,34,False,False,138109
61,0.0,0.0,0.0,49,36,True,False,138109
62,0.0,0.0,0.0,44,34,True,False,138109
63,0.0,0.0,0.0,43,33,False,False,138109
64,0.0,0.0,0.0,47,32,False,False,138109
65,1.41,3.2,0.0,39,33,False,False,138109
66,0.0,0.0,3.1,39,33,False,False,138109
67,0.0,0.0,2.0,42,30,False,False,138109
68,0.0,0.0,0.0,40,31,True,False,138109
69,0.0,0.0,0.0,45,32,True,False,138109
70,0.08,0.0,0.0,43,32,False,False,138109
71,0.28,0.0,0.0,40,33,False,False,138109
72,0.01,0.0,0.0,41,31,False,False,138109
73,0.0,0.0,0.0,48,32,False,False,138109
74,0.0,0.0,0.0,40,30,False,False,138109
75,0.0,0.0,0.0,48,27,True,False,138109
76,0.0,0.0,0.0,43,28,True,False,138109
77,0.0,0.0,0.0,47,33,False,False,138109
78,0.0,0.0,0.0,39,30,False,False,138109
79,0.99,8.2,0.0,39,31,False,False,138109
80,0.06,0.2,7.9,50,32,False,False,138109
81,0.0,0.0,1.2,49,35,False,False,138109
82,0.0,0.0,0.0,51,35,True,False,138109
83,0.0,0.0,0.0,45,33,True,False,138109
84,0.0,0.0,0.0,50,34,False,False,138109
85,0.01,0.0,0.0,47,34,False,False,138109
86,0.03,0.0,0.0,52,38,False,False,138109
87,0.03,0.0,0.0,53,49,False,False,138109
88,0.03,0.0,0.0,62,44,False,False,138109
89,0.0,0.0,0.0,58,39,True,False,138109
90,0.0,0.0,0.0,60,43,True,False,140462
91,0.59,5.5,5.1,43,33,False,False,140462
92,0.26,0.0,0.0,43,39,False,False,140462
93,0.04,0.0,0.0,56,40,False,False,140462
94,0.0,0.0,0.0,45,34,False,False,140462
95,0.11,0.0,0.0,62,37,False,False,140462
96,0.0,0.0,0.0,49,37,True,False,140462
97,0.0,0.0,0.0,46,32,True,False,140462
98,0.0,0.0,0.0,49,32,False,False,140462
99,0.01,0.0,0.0,51,38,False,False,140462
100,0.0,0.0,0.0,51,37,False,False,140462
101,0.0,0.0,0.0,63,46,False,False,140462
102,0.0,0.0,0.0,82,60,False,False,140462
103,0.0,0.0,0.0,77,44,True,False,140462
104,0.47,0.0,0.0,44,38,True,False,140462
105,2.82,0.0,0.0,60,39,False,False,140462
106,0.0,0.0,0.0,47,39,False,False,140462
107,0.0,0.0,0.0,55,37,False,False,140462
108,0.15,0.0,0.0,49,38,False,False,140462
109,0.0,0.0,0.0,50,37,False,False,140462
110,0.0,0.0,0.0,63,39,True,False,140462
111,0.0,0.0,0.0,67,44,True,False,140462
112,0.0,0.0,0.0,68,46,False,False,140462
113,0.05,0.0,0.0,66,46,False,False,140462
114,0.95,0.0,0.0,60,52,False,False,140462
115,0.1,0.0,0.0,70,55,False,False,140462
116,0.05,0.0,0.0,59,51,False,False,140462
117,0.1,0.0,0.0,68,50,True,False,140462
118,0.08,0.0,0.0,59,47,True,False,140462
119,0.0,0.0,0.0,51,44,False,False,140462
120,0.0,0.0,0.0,80,48,False,False,144590
121,0.0,0.0,0.0,90,65,False,False,144590
122,0.02,0.0,0.0,92,70,False,False,144590
123,0.0,0.0,0.0,84,72,False,False,144590
124,0.0,0.0,0.0,76,61,True,False,144590
125,0.0,0.0,0.0,66,56,True,False,144590
126,0.0,0.0,0.0,77,54,False,False,144590
127,0.0,0.0,0.0,74,53,False,False,144590
128,0.0,0.0,0.0,77,54,False,False,144590
129,0.25,0.0,0.0,66,54,False,False,144590
130,0.0,0.0,0.0,73,60,False,False,144590
131,0.22,0.0,0.0,63,51,True,False,144590
132,0.1,0.0,0.0,54,52,True,False,144590
133,0.03,0.0,0.0,71,52,False,False,144590
134,0.58,0.0,0.0,88,61,False,False,144590
135,0.34,0.0,0.0,64,56,False,False,144590
136,0.22,0.0,0.0,71,56,False,False,144590
137,0.0,0.0,0.0,67,56,False,False,144590
138,0.65,0.0,0.0,56,49,True,False,144590
139,0.0,0.0,0.0,81,56,True,False,144590
140,0.0,0.0,0.0,79,58,False,False,144590
141,0.29,0.0,0.0,68,55,False,False,144590
142,0.29,0.0,0.0,81,59,False,False,144590
143,0.0,0.0,0.0,83,63,False,False,144590
144,0.0,0.0,0.0,86,65,False,False,144590
145,0.0,0.0,0.0,89,72,True,False,144590
146,0.44,0.0,0.0,80,56,True,False,144590
147,0.0,0.0,0.0,69,56,False,True,144590
148,0.0,0.0,0.0,89,63,False,False,144590
149,0.0,0.0,0.0,78,61,False,False,144590
150,0.1,0.0,0.0,68,63,False,False,144590
151,0.27,0.0,0.0,81,65,False,False,146533
152,0.08,0.0,0.0,87,66,True,False,146533
153,0.25,0.0,0.0,66,51,True,False,146533
154,0.16,0.0,0.0,71,51,False,False,146533
155,0.0,0.0,0.0,75,58,False,False,146533
156,0.0,0.0,0.0,71,58,False,False,146533
157,0.0,0.0,0.0,71,60,False,False,146533
158,0.0,0.0,0.0,82,60,False,False,146533
159,0.0,0.0,0.0,83,67,True,False,146533
160,0.01,0.0,0.0,73,58,True,False,146533
161,0.0,0.0,0.0,73,58,False,False,146533
162,0.0,0.0,0.0,75,57,False,False,146533
163,0.04,0.0,0.0,78,63,False,False,146533
164,0.0,0.0,0.0,84,67,False,False,146533
165,0.0,0.0,0.0,76,63,False,False,146533
166,0.0,0.0,0.0,85,64,True,False,146533
167,0.0,0.0,0.0,91,66,True,False,146533
168,0.08,0.0,0.0,91,73,False,False,146533
169,0.07,0.0,0.0,88,75,False,False,146533
170,0.09,0.0,0.0,83,69,False,False,146533
171,0.59,0.0,0.0,83,65,False,False,146533
172,0.1,0.0,0.0,75,62,False,False,146533
173,0.0,0.0,0.0,66,62,True,False,146533
174,0.0,0.0,0.0,84,66,True,False,146533
175,0.0,0.0,0.0,81,67,False,False,146533
176,0.0,0.0,0.0,78,61,False,False,146533
177,0.01,0.0,0.0,73,66,False,False,146533
178,1.36,0.0,0.0,83,70,False,False,146533
179,0.0,0.0,0.0,89,70,False,False,146533
180,0.0,0.0,0.0,93,72,True,False,146533
181,0.0,0.0,0.0,96,79,True,False,147040
182,0.0,0.0,0.0,95,79,False,False,147040
183,0.01,0.0,0.0,92,77,False,False,147040
184,0.0,0.0,0.0,86,77,False,True,147040
185,0.0,0.0,0.0,90,76,False,False,147040
186,0.23,0.0,0.0,80,69,False,False,147040
187,0.0,0.0,0.0,78,62,True,False,147040
188,0.0,0.0,0.0,84,62,True,False,147040
189,0.0,0.0,0.0,87,67,False,False,147040
190,0.0,0.0,0.0,93,72,False,False,147040
191,0.0,0.0,0.0,88,74,False,False,147040
192,0.71,0.0,0.0,84,64,False,False,147040
193,0.0,0.0,0.0,84,68,False,False,147040
194,0.36,0.0,0.0,88,70,True,False,147040
195,0.64,0.0,0.0,83,69,True,False,147040
196,0.0,0.0,0.0,90,75,False,False,147040
197,2.24,0.0,0.0,88,70,False,False,147040
198,0.0,0.0,0.0,85,66,False,False,147040
199,0.0,0.0,0.0,83,66,False,False,147040
200,0.0,0.0,0.0,82,69,False,False,147040
201,0.63,0.0,0.0,79,65,True,False,147040
202,1.06,0.0,0.0,79,70,True,False,147040
203,0.17,0.0,0.0,80,73,False,False,147040
204,0.02,0.0,0.0,82,75,False,False,147040
205,0.73,0.0,0.0,77,72,False,False,147040
206,0.03,0.0,0.0,85,72,False,False,147040
207,0.25,0.0,0.0,86,68,False,False,147040
208,0.0,0.0,0.0,85,70,True,False,147040
209,0.0,0.0,0.0,82,70,True,False,147040
210,0.37,0.0,0.0,78,68,False,False,147040
211,0.0,0.0,0.0,82,68,False,False,147040
212,0.1,0.0,0.0,84,74,False,False,146567
213,0.51,0.0,0.0,86,76,False,False,146567
214,0.24,0.0,0.0,85,73,False,False,146567
215,0.74,0.0,0.0,84,72,True,False,146567
216,0.0,0.0,0.0,91,73,True,False,146567
217,0.0,0.0,0.0,92,77,False,False,146567
218,0.05,0.0,0.0,90,74,False,False,146567
219,0.0,0.0,0.0,90,76,False,False,146567
220,0.61,0.0,0.0,86,73,False,False,146567
221,0.0,0.0,0.0,86,72,False,False,146567
222,2.9,0.0,0.0,80,70,True,False,146567
223,0.0,0.0,0.0,84,72,True,False,146567
224,0.66,0.0,0.0,75,71,False,False,146567
225,0.79,0.0,0.0,82,71,False,False,146567
226,0.0,0.0,0.0,86,70,False,False,146567
227,0.0,0.0,0.0,88,76,False,False,146567
228,1.04,0.0,0.0,87,72,False,False,146567
229,0.07,0.0,0.0,85,71,True,False,146567
230,0.02,0.0,0.0,72,67,True,False,146567
231,0.0,0.0,0.0,74,67,False,False,146567
232,0.11,0.0,0.0,79,66,False,False,146567
233,0.72,0.0,0.0,82,71,False,False,146567
234,0.0,0.0,0.0,77,65,False,False,146567
235,0.0,0.0,0.0,82,65,False,False,146567
236,0.0,0.0,0.0,80,68,True,False,146567
237,0.0,0.0,0.0,83,69,True,False,146567
238,0.0,0.0,0.0,88,74,False,False,146567
239,0.0,0.0,0.0,94,79,False,False,146567
240,0.0,0.0,0.0,92,81,False,False,146567
241,0.0,0.0,0.0,90,78,False,False,146567
242,0.03,0.0,0.0,78,69,False,False,146567
243,0.0,0.0,0.0,78,69,True,False,146437
244,0.0,0.0,0.0,81,68,True,False,146437
245,0.0,0.0,0.0,90,75,False,True,146437
246,0.0,0.0,0.0,92,77,False,False,146437
247,0.0,0.0,0.0,89,77,False,False,146437
248,0.36,0.0,0.0,93,73,False,False,146437
249,0.0,0.0,0.0,75,69,False,False,146437
250,0.02,0.0,0.0,71,61,True,False,146437
251,0.45,0.0,0.0,62,55,True,False,146437
252,0.93,0.0,0.0,64,54,False,False,146437
253,0.02,0.0,0.0,74,62,False,False,146437
254,0.15,0.0,0.0,77,71,False,False,146437
255,0.13,0.0,0.0,76,69,False,False,146437
256,0.0,0.0,0.0,75,68,False,False,146437
257,0.0,0.0,0.0,80,67,True,False,146437
258,0.0,0.0,0.0,84,67,True,False,146437
259,0.01,0.0,0.0,79,68,False,False,146437
260,1.19,0.0,0.0,79,70,False,False,146437
261,0.0,0.0,0.0,81,68,False,False,146437
262,0.0,0.0,0.0,72,65,False,False,146437
263,0.0,0.0,0.0,72,67,False,False,146437
264,0.0,0.0,0.0,74,62,True,False,146437
265,0.0,0.0,0.0,66,60,True,False,146437
266,0.0,0.0,0.0,69,57,False,False,146437
267,1.95,0.0,0.0,73,59,False,False,146437
268,0.21,0.0,0.0,82,69,False,False,146437
269,0.0,0.0,0.0,72,61,False,False,146437
270,0.77,0.0,0.0,65,56,False,False,146437
271,0.0,0.0,0.0,72,58,True,False,146437
272,0.0,0.0,0.0,70,54,True,False,146437
273,0.0,0.0,0.0,76,63,False,False,146760
274,0.69,0.0,0.0,77,65,False,False,146760
275,0.0,0.0,0.0,74,63,False,False,146760
276,0.04,0.0,0.0,76,61,False,False,146760
277,0.0,0.0,0.0,71,60,False,False,146760
278,0.0,0.0,0.0,68,63,True,False,146760
279,0.0,0.0,0.0,79,67,True,False,146760
280,0.0,0.0,0.0,74,64,False,True,146760
281,0.0,0.0,0.0,77,66,False,False,146760
282,0.0,0.0,0.0,80,71,False,False,146760
283,0.84,0.0,0.0,77,69,False,False,146760
284,0.43,0.0,0.0,68,51,False,False,146760
285,0.1,0.0,0.0,55,46,True,False,146760
286,0.0,0.0,0.0,58,47,True,False,146760
287,0.05,0.0,0.0,68,52,False,False,146760
288,0.01,0.0,0.0,60,47,False,False,146760
289,0.0,0.0,0.0,61,46,False,False,146760
290,0.0,0.0,0.0,50,42,False,False,146760
291,0.0,0.0,0.0,60,43,False,False,146760
292,0.06,0.0,0.0,62,51,True,False,146760
293,0.0,0.0,0.0,51,39,True,False,146760
294,0.0,0.0,0.0,50,39,False,False,146760
295,0.0,0.0,0.0,63,49,False,False,146760
296,0.0,0.0,0.0,54,44,False,False,146760
297,0.0,0.0,0.0,51,40,False,False,146760
298,0.0,0.0,0.0,50,38,False,False,146760
299,1.27,0.0,0.0,51,44,True,False,146760
300,0.07,0.0,0.0,52,45,True,False,146760
301,0.03,0.0,0.0,56,47,False,False,146760
302,0.0,0.0,0.0,55,42,False,False,146760
303,0.0,0.0,0.0,64,44,False,False,146760
304,0.0,0.0,0.0,70,57,False,False,146760
305,0.22,0.0,0.0,72,64,False,False,146760
306,0.37,0.0,0.0,65,48,True,False,146760
307,0.0,0.0,0.0,55,43,True,False,146760
308,0.3,0.0,0.0,53,48,False,False,146760
309,0.68,0.0,0.0,59,49,False,False,146760
310,0.0,0.0,0.0,62,51,False,False,146760
311,0.0,0.0,0.0,56,45,False,False,146760
312,0.77,0.0,0.0,52,40,False,False,146760
313,0.03,0.0,0.0,50,34,True,False,146760
314,0.0,0.0,0.0,46,33,True,False,146760
315,0.04,0.0,0.0,49,37,False,True,146760
316,1.06,0.0,0.0,50,43,False,False,146760
317,0.0,0.0,0.0,43,32,False,False,146760
318,1.16,6.4,0.0,40,28,False,False,146760
319,0.31,0.0,3.9,45,34,False,False,146760
320,0.0,0.0,2.0,47,37,True,False,146760
321,0.0,0.0,0.0,44,39,True,False,146760
322,0.0,0.0,0.0,50,41,False,False,146760
323,0.0,0.0,0.0,47,39,False,False,146760
324,0.0,0.0,0.0,44,27,False,False,146760
325,0.0,0.0,0.0,28,17,False,True,146760
326,0.0,0.0,0.0,32,15,False,False,146760
327,0.97,0.0,0.0,49,31,True,False,146760
328,0.81,0.0,0.0,55,45,True,False,146760
329,0.85,0.0,0.0,53,45,False,False,146760
330,0.03,0.0,0.0,45,37,False,False,146760
331,0.0,0.0,0.0,42,36,False,False,146760
332,0.0,0.0,0.0,46,38,False,False,146760
333,0.02,0.0,0.0,43,38,False,False,146760
334,0.05,0.0,0.0,46,36,True,False,147090
335,0.59,0.0,0.0,56,42,True,False,147090
336,0.0,0.0,0.0,55,46,False,False,147090
337,0.0,0.0,0.0,46,31,False,False,147090
338,0.0,0.0,0.0,37,28,False,False,147090
339,0.0,0.0,0.0,40,30,False,False,147090
340,0.0,0.0,0.0,39,28,False,False,147090
341,0.0,0.0,0.0,36,24,True,False,147090
342,0.0,0.0,0.0,36,28,True,False,147090
343,0.0,0.0,0.0,39,29,False,False,147090
344,0.0,0.0,0.0,41,29,False,False,147090
345,0.0,0.0,0.0,41,33,False,False,147090
346,0.03,0.0,0.0,40,33,False,False,147090
347,0.1,0.0,0.0,51,40,False,False,147090
348,0.14,0.0,0.0,52,46,True,False,147090
349,1.43,0.0,0.0,46,35,True,False,147090
350,0.03,0.0,0.0,46,37,False,False,147090
351,0.0,0.0,0.0,40,28,False,False,147090
352,0.0,0.0,0.0,42,26,False,False,147090
353,0.22,0.0,0.0,47,37,False,False,147090
354,1.61,0.0,0.0,61,47,False,False,147090
355,0.02,0.0,0.0,54,40,True,False,147090
356,0.0,0.0,0.0,43,36,True,False,147090
357,0.12,0.0,0.0,43,36,False,True,147090
358,0.0,0.0,0.0,40,33,False,True,147090
359,0.0,0.0,0.0,43,32,False,False,147090
360,0.0,0.0,0.0,44,37,False,False,147090
361,1.15,0.0,0.0,60,43,False,False,147090
362,0.0,0.0,0.0,57,39,True,False,147090
363,0.0,0.0,0.0,40,33,True,False,147090
364,1.02,0.0,0.0,48,36,False,True,147090
